anonymized_packet_key,semantic_faithfulness,code_consistency,proof_utility,vacuity_label,coverage_label
ag_001,4,4,2,non_vacuous,full
ag_002,4,4,2,non_vacuous,full
ag_003,4,4,2,non_vacuous,full
ag_004,4,4,2,non_vacuous,full
ag_005,4,4,2,non_vacuous,full
ag_006,4,4,2,non_vacuous,full
ag_007,4,4,2,non_vacuous,full
ag_008,4,4,1,non_vacuous,full
ag_009,4,4,2,non_vacuous,full
ag_010,3,4,2,non_vacuous,full
ag_011,4,4,2,non_vacuous,full
ag_012,4,4,3,non_vacuous,full
ag_013,4,4,1,non_vacuous,full
ag_014,4,4,2,non_vacuous,full
ag_015,4,4,2,non_vacuous,full
ag_016,4,4,2,non_vacuous,full
ag_017,3,4,2,non_vacuous,partial
ag_018,4,4,2,non_vacuous,full
ag_019,4,4,2,non_vacuous,partial
ag_020,4,4,2,non_vacuous,full
ag_021,4,4,2,non_vacuous,partial
ag_022,4,4,2,non_vacuous,full
ag_023,3,4,2,non_vacuous,partial
ag_024,4,4,2,non_vacuous,partial
ag_025,3,4,2,non_vacuous,partial
ag_026,4,4,2,non_vacuous,full
ag_027,4,4,3,non_vacuous,partial
ag_028,4,4,2,non_vacuous,full
ag_029,4,4,2,non_vacuous,partial
ag_030,4,4,2,non_vacuous,full
ag_031,3,4,2,non_vacuous,partial
ag_032,4,4,1,non_vacuous,full
ag_033,4,4,3,non_vacuous,full
ag_034,4,4,3,non_vacuous,full
ag_035,4,4,3,non_vacuous,full
ag_036,4,4,3,non_vacuous,full
ag_037,4,4,3,non_vacuous,full
ag_038,4,4,3,non_vacuous,full
ag_039,4,4,3,non_vacuous,full
ag_040,4,4,3,non_vacuous,full
ag_041,4,4,3,non_vacuous,full
ag_042,4,4,3,non_vacuous,full
ag_043,4,4,4,non_vacuous,full
ag_044,4,4,3,non_vacuous,full
ag_045,4,4,3,non_vacuous,full
ag_046,4,4,3,non_vacuous,full
ag_047,4,4,3,non_vacuous,full
ag_048,4,4,3,non_vacuous,full
ag_049,3,4,3,non_vacuous,partial
ag_050,3,4,2,non_vacuous,full
ag_051,3,3,2,non_vacuous,partial
ag_052,4,4,3,non_vacuous,full
ag_053,3,4,3,non_vacuous,partial
ag_054,4,4,2,non_vacuous,full
ag_055,3,4,1,non_vacuous,partial
ag_056,4,4,2,non_vacuous,full
ag_057,3,4,2,non_vacuous,partial
ag_058,3,4,2,non_vacuous,full
ag_059,3,4,1,non_vacuous,partial
ag_060,3,4,2,non_vacuous,full
ag_061,3,4,2,non_vacuous,partial
ag_062,4,4,2,non_vacuous,full
ag_063,3,4,2,non_vacuous,partial
ag_064,4,4,2,non_vacuous,partial
ag_065,3,4,2,non_vacuous,partial
ag_066,3,4,2,vacuous,full
ag_067,4,4,2,non_vacuous,full
ag_068,4,4,2,non_vacuous,full
ag_069,3,4,3,non_vacuous,partial
ag_070,4,4,2,non_vacuous,full
ag_071,3,4,2,non_vacuous,partial
ag_072,4,4,4,non_vacuous,full
ag_073,4,4,3,non_vacuous,partial
ag_074,4,4,2,non_vacuous,full
