anonymized_packet_key,instance_id,system_id,family,semantic_faithfulness_label,semantic_faithfulness_code,code_consistency_label,code_consistency_code,proof_utility_label,proof_utility_code,vacuity_label,coverage_label,covered_units,partial_units,missing_units,contradiction_signal,notes
hs_001,arrays_binary_search_001,code_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_002,arrays_binary_search_001,full_method_v1,arrays_binary_search,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU1|SU2|SU3,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_003,arrays_binary_search_001,naive_concat_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_004,arrays_binary_search_002,code_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_005,arrays_binary_search_002,full_method_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_006,arrays_binary_search_002,naive_concat_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_007,arrays_binary_search_002,text_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_008,arrays_binary_search_003,code_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_009,arrays_binary_search_003,full_method_v1,arrays_binary_search,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU1|SU2|SU3,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_010,arrays_binary_search_003,naive_concat_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_011,arrays_binary_search_003,text_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_012,arrays_binary_search_004,code_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_013,arrays_binary_search_004,full_method_v1,arrays_binary_search,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU1|SU2|SU3,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_014,arrays_binary_search_004,naive_concat_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU1|SU2|SU3,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_015,arrays_binary_search_004,text_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU1|SU2|SU3,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_016,arrays_binary_search_005,full_method_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_017,arrays_binary_search_005,text_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU1|SU2|SU3,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_018,arrays_binary_search_006,full_method_v1,arrays_binary_search,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU1|SU2|SU3,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_019,arrays_binary_search_006,naive_concat_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU1|SU2|SU3,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_020,arrays_binary_search_006,text_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU1|SU2|SU3,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_021,arrays_binary_search_007,full_method_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_022,arrays_binary_search_007,text_only_v1,arrays_binary_search,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU1|SU2|SU3,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_023,arrays_max_subarray_001,code_only_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_024,arrays_max_subarray_001,full_method_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_025,arrays_max_subarray_001,naive_concat_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
