packet_id,dim,rater_a,rater_b,agree
ag_001,semantic_faithfulness,4,4,1
ag_001,code_consistency,4,4,1
ag_001,proof_utility,2,2,1
ag_001,coverage_label,full,full,1
ag_001,vacuity_label,non_vacuous,non_vacuous,1
ag_002,semantic_faithfulness,4,4,1
ag_002,code_consistency,4,4,1
ag_002,proof_utility,2,2,1
ag_002,coverage_label,full,full,1
ag_002,vacuity_label,non_vacuous,non_vacuous,1
ag_003,semantic_faithfulness,4,4,1
ag_003,code_consistency,4,4,1
ag_003,proof_utility,2,2,1
ag_003,coverage_label,full,full,1
ag_003,vacuity_label,non_vacuous,non_vacuous,1
ag_004,semantic_faithfulness,2,2,1
ag_004,code_consistency,3,3,1
ag_004,proof_utility,1,1,1
ag_004,coverage_label,partial,partial,1
ag_004,vacuity_label,non_vacuous,non_vacuous,1
ag_005,semantic_faithfulness,4,4,1
ag_005,code_consistency,4,4,1
ag_005,proof_utility,2,2,1
ag_005,coverage_label,full,full,1
ag_005,vacuity_label,non_vacuous,non_vacuous,1
ag_006,semantic_faithfulness,4,4,1
ag_006,code_consistency,4,4,1
ag_006,proof_utility,2,2,1
ag_006,coverage_label,full,full,1
ag_006,vacuity_label,non_vacuous,non_vacuous,1
ag_007,semantic_faithfulness,4,4,1
ag_007,code_consistency,4,4,1
ag_007,proof_utility,2,2,1
ag_007,coverage_label,full,full,1
ag_007,vacuity_label,non_vacuous,non_vacuous,1
ag_008,semantic_faithfulness,4,4,1
ag_008,code_consistency,4,4,1
ag_008,proof_utility,2,1,0
ag_008,coverage_label,full,full,1
ag_008,vacuity_label,non_vacuous,non_vacuous,1
ag_009,semantic_faithfulness,4,4,1
ag_009,code_consistency,4,4,1
ag_009,proof_utility,2,2,1
ag_009,coverage_label,full,full,1
ag_009,vacuity_label,non_vacuous,non_vacuous,1
ag_010,semantic_faithfulness,4,3,0
ag_010,code_consistency,4,4,1
ag_010,proof_utility,2,2,1
ag_010,coverage_label,full,full,1
ag_010,vacuity_label,non_vacuous,non_vacuous,1
ag_011,semantic_faithfulness,4,4,1
ag_011,code_consistency,4,4,1
ag_011,proof_utility,2,2,1
ag_011,coverage_label,full,full,1
ag_011,vacuity_label,non_vacuous,non_vacuous,1
ag_012,semantic_faithfulness,2,2,1
ag_012,code_consistency,3,3,1
ag_012,proof_utility,1,2,0
ag_012,coverage_label,partial,partial,1
ag_012,vacuity_label,non_vacuous,non_vacuous,1
ag_013,semantic_faithfulness,4,4,1
ag_013,code_consistency,4,4,1
ag_013,proof_utility,2,1,0
ag_013,coverage_label,full,full,1
ag_013,vacuity_label,non_vacuous,non_vacuous,1
ag_014,semantic_faithfulness,4,4,1
ag_014,code_consistency,4,4,1
ag_014,proof_utility,2,2,1
ag_014,coverage_label,full,full,1
ag_014,vacuity_label,non_vacuous,non_vacuous,1
ag_015,semantic_faithfulness,4,4,1
ag_015,code_consistency,4,4,1
ag_015,proof_utility,2,2,1
ag_015,coverage_label,full,full,1
ag_015,vacuity_label,non_vacuous,non_vacuous,1
ag_016,semantic_faithfulness,4,4,1
ag_016,code_consistency,4,4,1
ag_016,proof_utility,2,2,1
ag_016,coverage_label,full,full,1
ag_016,vacuity_label,non_vacuous,non_vacuous,1
ag_017,semantic_faithfulness,3,3,1
ag_017,code_consistency,4,4,1
ag_017,proof_utility,2,2,1
ag_017,coverage_label,partial,partial,1
ag_017,vacuity_label,non_vacuous,non_vacuous,1
ag_018,semantic_faithfulness,4,4,1
ag_018,code_consistency,4,4,1
ag_018,proof_utility,2,2,1
ag_018,coverage_label,full,full,1
ag_018,vacuity_label,non_vacuous,non_vacuous,1
ag_019,semantic_faithfulness,4,4,1
ag_019,code_consistency,4,4,1
ag_019,proof_utility,2,2,1
ag_019,coverage_label,partial,partial,1
ag_019,vacuity_label,non_vacuous,non_vacuous,1
ag_020,semantic_faithfulness,4,4,1
ag_020,code_consistency,4,4,1
ag_020,proof_utility,2,2,1
ag_020,coverage_label,full,full,1
ag_020,vacuity_label,non_vacuous,non_vacuous,1
ag_021,semantic_faithfulness,4,4,1
ag_021,code_consistency,4,4,1
ag_021,proof_utility,2,2,1
ag_021,coverage_label,partial,partial,1
ag_021,vacuity_label,non_vacuous,non_vacuous,1
ag_022,semantic_faithfulness,4,4,1
ag_022,code_consistency,4,4,1
ag_022,proof_utility,2,2,1
ag_022,coverage_label,full,full,1
ag_022,vacuity_label,non_vacuous,non_vacuous,1
ag_023,semantic_faithfulness,3,3,1
ag_023,code_consistency,4,4,1
ag_023,proof_utility,2,2,1
ag_023,coverage_label,partial,partial,1
ag_023,vacuity_label,non_vacuous,non_vacuous,1
ag_024,semantic_faithfulness,4,4,1
ag_024,code_consistency,4,4,1
ag_024,proof_utility,2,2,1
ag_024,coverage_label,full,partial,0
ag_024,vacuity_label,non_vacuous,non_vacuous,1
ag_025,semantic_faithfulness,3,3,1
ag_025,code_consistency,4,4,1
ag_025,proof_utility,2,2,1
ag_025,coverage_label,partial,partial,1
ag_025,vacuity_label,non_vacuous,non_vacuous,1
ag_026,semantic_faithfulness,4,4,1
ag_026,code_consistency,4,4,1
ag_026,proof_utility,2,2,1
ag_026,coverage_label,full,full,1
ag_026,vacuity_label,non_vacuous,non_vacuous,1
ag_027,semantic_faithfulness,4,4,1
ag_027,code_consistency,4,4,1
ag_027,proof_utility,2,3,0
ag_027,coverage_label,partial,partial,1
ag_027,vacuity_label,non_vacuous,non_vacuous,1
ag_028,semantic_faithfulness,4,4,1
ag_028,code_consistency,4,4,1
ag_028,proof_utility,2,2,1
ag_028,coverage_label,full,full,1
