anonymized_packet_key,instance_id,system_id,metric,rater_a,rater_b_human,adjudicated_resolution,resolution_reason,source_evidence,specific_obligation_index,semantic_unit_ids,reference_obligation_ids,adjudicator_id
hs_013,arrays_binary_search_004,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_018,arrays_binary_search_006,full_method_v1,semantic_faithfulness,1,2,1,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_021,arrays_binary_search_007,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_025,arrays_max_subarray_001,naive_concat_v1,vacuity_label,non_vacuous,vacuous,vacuous,At least one obligation is tautological/detached; adjudication retains vacuous flag.,generated_obligations text and vacuity rubric,0,SU1,obl_001,adjudicator_v3
hs_033,arrays_max_subarray_003,naive_concat_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1,obl_001,adjudicator_v3
hs_041,arrays_max_subarray_006,full_method_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_051,dp_knapsack_01_002,full_method_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_055,dp_knapsack_01_003,full_method_v1,code_consistency,3,2,2,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_063,dp_knapsack_01_005,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_069,dp_knapsack_01_007,code_only_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_072,dp_knapsack_01_007,text_only_v1,vacuity_label,non_vacuous,vacuous,vacuous,At least one obligation is tautological/detached; adjudication retains vacuous flag.,generated_obligations text and vacuity rubric,0,SU1|SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_073,dp_longest_common_subsequence_001,code_only_v1,vacuity_label,non_vacuous,vacuous,vacuous,At least one obligation is tautological/detached; adjudication retains vacuous flag.,generated_obligations text and vacuity rubric,0,SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
