anonymized_packet_key,instance_id,system_id,priority_score,priority_low_semantic_faithfulness,priority_missing_critical_unit,priority_contradiction_signal,priority_vacuous,priority_in_semantic_corrections_v3,priority_family
hs_002,arrays_binary_search_001,full_method_v1,4,true,false,true,false,true,true
hs_074,dp_longest_common_subsequence_001,full_method_v1,4,true,false,true,false,true,true
hs_078,dp_longest_common_subsequence_002,full_method_v1,4,true,false,true,false,true,true
hs_009,arrays_binary_search_003,full_method_v1,3,true,false,true,false,false,true
hs_013,arrays_binary_search_004,full_method_v1,3,true,false,true,false,false,true
hs_018,arrays_binary_search_006,full_method_v1,3,true,false,true,false,false,true
hs_075,dp_longest_common_subsequence_001,naive_concat_v1,3,true,true,false,false,false,true
hs_076,dp_longest_common_subsequence_001,text_only_v1,3,true,true,false,false,false,true
hs_079,dp_longest_common_subsequence_002,naive_concat_v1,3,true,true,false,false,false,true
hs_080,dp_longest_common_subsequence_002,text_only_v1,3,true,true,false,false,false,true
hs_082,dp_longest_common_subsequence_003,full_method_v1,3,true,false,true,false,false,true
hs_083,dp_longest_common_subsequence_003,naive_concat_v1,3,true,true,false,false,false,true
hs_084,dp_longest_common_subsequence_003,text_only_v1,3,true,true,false,false,false,true
hs_086,dp_longest_common_subsequence_004,full_method_v1,3,true,false,true,false,false,true
hs_087,dp_longest_common_subsequence_004,naive_concat_v1,3,true,true,false,false,false,true
hs_088,dp_longest_common_subsequence_004,text_only_v1,3,true,true,false,false,false,true
hs_089,dp_longest_common_subsequence_005,naive_concat_v1,3,true,true,false,false,false,true
hs_090,dp_longest_common_subsequence_005,text_only_v1,3,true,true,false,false,false,true
hs_092,dp_longest_common_subsequence_006,naive_concat_v1,3,true,true,false,false,false,true
hs_093,dp_longest_common_subsequence_006,text_only_v1,3,true,true,false,false,false,true
hs_094,dp_longest_common_subsequence_007,naive_concat_v1,3,true,true,false,false,false,true
hs_095,dp_longest_common_subsequence_007,text_only_v1,3,true,true,false,false,false,true
hs_099,graph_bfs_shortest_path_001,text_only_v1,3,true,true,false,false,false,true
hs_102,graph_bfs_shortest_path_002,naive_concat_v1,3,true,true,false,false,false,true
hs_103,graph_bfs_shortest_path_002,text_only_v1,3,true,true,false,false,false,true
hs_107,graph_bfs_shortest_path_003,text_only_v1,3,true,true,false,false,false,true
hs_111,graph_bfs_shortest_path_004,text_only_v1,3,true,true,false,false,false,true
hs_114,graph_bfs_shortest_path_005,naive_concat_v1,3,true,true,false,false,false,true
hs_115,graph_bfs_shortest_path_005,text_only_v1,3,true,true,false,false,false,true
hs_116,graph_bfs_shortest_path_006,text_only_v1,3,true,true,false,false,false,true
hs_117,graph_bfs_shortest_path_007,naive_concat_v1,3,true,true,false,false,false,true
hs_118,graph_bfs_shortest_path_007,text_only_v1,3,true,true,false,false,false,true
hs_144,greedy_coin_change_canonical_001,naive_concat_v1,3,true,true,false,false,false,true
hs_145,greedy_coin_change_canonical_001,text_only_v1,3,true,true,false,false,false,true
hs_148,greedy_coin_change_canonical_002,naive_concat_v1,3,true,true,false,false,false,true
hs_149,greedy_coin_change_canonical_002,text_only_v1,3,true,true,false,false,false,true
hs_152,greedy_coin_change_canonical_003,naive_concat_v1,3,true,true,false,false,false,true
hs_153,greedy_coin_change_canonical_003,text_only_v1,3,true,true,false,false,false,true
hs_155,greedy_coin_change_canonical_004,naive_concat_v1,3,true,true,false,false,false,true
hs_156,greedy_coin_change_canonical_004,text_only_v1,3,true,true,false,false,false,true
hs_160,greedy_coin_change_canonical_005,text_only_v1,3,true,true,false,false,false,true
hs_161,greedy_coin_change_canonical_006,naive_concat_v1,3,true,true,false,false,false,true
hs_162,greedy_coin_change_canonical_006,text_only_v1,3,true,true,false,false,false,true
hs_164,greedy_coin_change_canonical_007,text_only_v1,3,true,true,false,false,false,true
hs_216,sorting_merge_sort_002,text_only_v1,3,true,true,false,false,false,true
hs_227,sorting_merge_sort_005,text_only_v1,3,true,true,false,false,false,true
hs_230,sorting_merge_sort_007,text_only_v1,3,true,true,false,false,false,true
hs_254,trees_lowest_common_ancestor_001,full_method_v1,3,true,false,false,false,true,true
hs_255,trees_lowest_common_ancestor_001,naive_concat_v1,3,true,true,false,false,false,true
hs_256,trees_lowest_common_ancestor_001,text_only_v1,3,true,true,false,false,false,true
hs_258,trees_lowest_common_ancestor_002,full_method_v1,3,true,false,false,false,true,true
hs_259,trees_lowest_common_ancestor_002,naive_concat_v1,3,true,true,false,false,false,true
hs_260,trees_lowest_common_ancestor_002,text_only_v1,3,true,true,false,false,false,true
hs_263,trees_lowest_common_ancestor_003,naive_concat_v1,3,true,true,false,false,false,true
hs_264,trees_lowest_common_ancestor_003,text_only_v1,3,true,true,false,false,false,true
hs_267,trees_lowest_common_ancestor_004,naive_concat_v1,3,true,true,false,false,false,true
hs_268,trees_lowest_common_ancestor_004,text_only_v1,3,true,true,false,false,false,true
hs_269,trees_lowest_common_ancestor_005,naive_concat_v1,3,true,true,false,false,false,true
hs_270,trees_lowest_common_ancestor_005,text_only_v1,3,true,true,false,false,false,true
hs_271,trees_lowest_common_ancestor_006,naive_concat_v1,3,true,true,false,false,false,true
hs_272,trees_lowest_common_ancestor_006,text_only_v1,3,true,true,false,false,false,true
hs_273,trees_lowest_common_ancestor_007,naive_concat_v1,3,true,true,false,false,false,true
hs_274,trees_lowest_common_ancestor_007,text_only_v1,3,true,true,false,false,false,true
hs_003,arrays_binary_search_001,naive_concat_v1,2,false,true,false,false,false,true
hs_007,arrays_binary_search_002,text_only_v1,2,false,true,false,false,false,true
hs_010,arrays_binary_search_003,naive_concat_v1,2,false,true,false,false,false,true
hs_011,arrays_binary_search_003,text_only_v1,2,false,true,false,false,false,true
