run_id,benchmark_version,system_id,provider,model_name,model_version,prompt_template_sha,prompt_template_path,num_samples_per_instance,selection_rule,temperature,top_p,max_output_tokens,card_model_name,card_model_version,model_matches_system_card,manifest_path
run_2026_04_22_code_only_v1_dev_001,v0.1,code_only_v1,stub,stub-local,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,1024,gpt-5.4-nano,unknown,false,runs/run_2026_04_22_code_only_v1_dev_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_002,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_002/run_manifest.json
run_2026_04_22_code_only_v1_eval_003,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_003/run_manifest.json
run_2026_04_22_code_only_v1_eval_full_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_full_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zfix_001,v0.2,code_only_v1,stub,stub-local,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,false,runs/run_2026_04_22_code_only_v1_eval_zfix_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzz_packet_regen_001,v0.2,code_only_v1,stub,stub-local,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,false,runs/run_2026_04_22_code_only_v1_eval_zzz_packet_regen_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzz_live_api_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzz_live_api_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzz_full_refresh_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:9664cfe9022ac47027d55cf4af9813e2c10b9b16209e4410f12941fbc5b4b626,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzz_full_refresh_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzz_focus6_clean_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:c264f71194451652e7213bfb3e30aedc705058cc26d540aa1f4580aae5a05baf,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzz_focus6_clean_001/run_manifest.json
