packet_id,semantic_faithfulness,code_consistency,proof_utility,coverage_label
arrays_binary_search_004__text_only_v1,4,4,2,full
arrays_binary_search_004__code_only_v1,4,4,2,full
arrays_binary_search_004__naive_concat_v1,4,4,2,full
arrays_binary_search_004__full_method_v1,4,4,2,full
arrays_binary_search_005__text_only_v1,4,4,2,full
arrays_binary_search_005__code_only_v1,4,4,2,full
arrays_binary_search_005__naive_concat_v1,4,4,2,full
arrays_binary_search_005__full_method_v1,4,4,2,full
arrays_binary_search_006__text_only_v1,4,4,2,full
arrays_binary_search_006__code_only_v1,4,4,2,full
arrays_binary_search_006__naive_concat_v1,4,4,2,full
arrays_binary_search_006__full_method_v1,4,4,2,full
arrays_binary_search_007__text_only_v1,4,4,2,full
arrays_binary_search_007__code_only_v1,4,4,2,full
arrays_binary_search_007__naive_concat_v1,4,4,2,full
arrays_binary_search_007__full_method_v1,4,4,2,full
arrays_max_subarray_004__text_only_v1,3,4,2,partial
arrays_max_subarray_004__code_only_v1,4,4,2,full
arrays_max_subarray_004__naive_concat_v1,4,4,2,partial
arrays_max_subarray_004__full_method_v1,4,4,2,full
arrays_max_subarray_005__text_only_v1,4,4,2,partial
arrays_max_subarray_005__code_only_v1,4,4,2,full
arrays_max_subarray_005__naive_concat_v1,3,4,2,partial
arrays_max_subarray_005__full_method_v1,4,4,2,full
arrays_max_subarray_006__text_only_v1,3,4,2,partial
arrays_max_subarray_006__code_only_v1,4,4,2,full
arrays_max_subarray_006__naive_concat_v1,4,4,2,partial
arrays_max_subarray_006__full_method_v1,4,4,2,full
arrays_max_subarray_007__text_only_v1,4,4,2,partial
arrays_max_subarray_007__code_only_v1,4,4,2,full
arrays_max_subarray_007__naive_concat_v1,3,4,2,partial
arrays_max_subarray_007__full_method_v1,4,4,2,full
dp_knapsack_01_004__text_only_v1,4,4,3,full
dp_knapsack_01_004__code_only_v1,4,4,3,full
dp_knapsack_01_004__naive_concat_v1,4,4,3,full
dp_knapsack_01_004__full_method_v1,4,4,3,full
dp_knapsack_01_005__text_only_v1,4,4,3,full
dp_knapsack_01_005__code_only_v1,4,4,3,full
dp_knapsack_01_005__naive_concat_v1,4,4,3,full
dp_knapsack_01_005__full_method_v1,4,4,3,full
dp_knapsack_01_006__text_only_v1,4,4,3,full
dp_knapsack_01_006__code_only_v1,4,4,3,full
dp_knapsack_01_006__naive_concat_v1,4,4,3,full
dp_knapsack_01_006__full_method_v1,4,4,3,full
dp_knapsack_01_007__text_only_v1,4,4,3,full
dp_knapsack_01_007__code_only_v1,4,4,3,full
dp_knapsack_01_007__naive_concat_v1,4,4,3,full
dp_knapsack_01_007__full_method_v1,4,4,3,full
dp_longest_common_subsequence_004__text_only_v1,3,4,2,partial
dp_longest_common_subsequence_004__code_only_v1,3,4,2,full
dp_longest_common_subsequence_004__naive_concat_v1,3,4,2,partial
dp_longest_common_subsequence_004__full_method_v1,4,4,2,full
dp_longest_common_subsequence_005__text_only_v1,3,4,2,partial
dp_longest_common_subsequence_005__code_only_v1,4,4,2,full
dp_longest_common_subsequence_005__naive_concat_v1,3,4,2,partial
dp_longest_common_subsequence_005__full_method_v1,4,4,2,full
dp_longest_common_subsequence_006__text_only_v1,3,4,2,partial
dp_longest_common_subsequence_006__code_only_v1,3,4,2,full
dp_longest_common_subsequence_006__naive_concat_v1,3,4,2,partial
dp_longest_common_subsequence_006__full_method_v1,4,4,2,full
dp_longest_common_subsequence_007__text_only_v1,3,4,2,partial
dp_longest_common_subsequence_007__code_only_v1,4,4,2,full
dp_longest_common_subsequence_007__naive_concat_v1,3,4,2,partial
dp_longest_common_subsequence_007__full_method_v1,4,4,2,full
graph_bfs_shortest_path_004__text_only_v1,3,4,2,partial
graph_bfs_shortest_path_004__code_only_v1,4,4,2,full
graph_bfs_shortest_path_004__naive_concat_v1,4,4,2,full
graph_bfs_shortest_path_004__full_method_v1,4,4,2,full
graph_bfs_shortest_path_005__text_only_v1,3,4,2,partial
graph_bfs_shortest_path_005__code_only_v1,4,4,2,full
graph_bfs_shortest_path_005__naive_concat_v1,3,4,2,partial
graph_bfs_shortest_path_005__full_method_v1,4,4,4,full
graph_bfs_shortest_path_006__text_only_v1,3,4,2,partial
graph_bfs_shortest_path_006__code_only_v1,4,4,2,full
graph_bfs_shortest_path_006__naive_concat_v1,4,4,2,full
graph_bfs_shortest_path_006__full_method_v1,4,4,2,full
graph_bfs_shortest_path_007__text_only_v1,3,4,2,partial
graph_bfs_shortest_path_007__code_only_v1,4,4,2,full
graph_bfs_shortest_path_007__naive_concat_v1,3,4,2,partial
graph_bfs_shortest_path_007__full_method_v1,4,4,4,full
graph_dijkstra_004__text_only_v1,4,4,3,full
graph_dijkstra_004__code_only_v1,4,4,3,full
graph_dijkstra_004__naive_concat_v1,4,4,3,full
graph_dijkstra_004__full_method_v1,4,4,3,full
graph_dijkstra_005__text_only_v1,4,4,3,full
graph_dijkstra_005__code_only_v1,4,4,3,full
graph_dijkstra_005__naive_concat_v1,4,4,3,full
graph_dijkstra_005__full_method_v1,4,4,3,full
graph_dijkstra_006__text_only_v1,4,4,3,full
graph_dijkstra_006__code_only_v1,4,4,3,full
graph_dijkstra_006__naive_concat_v1,4,4,3,full
graph_dijkstra_006__full_method_v1,4,4,3,full
graph_dijkstra_007__text_only_v1,4,4,3,full
graph_dijkstra_007__code_only_v1,4,4,3,full
graph_dijkstra_007__naive_concat_v1,4,4,3,full
graph_dijkstra_007__full_method_v1,4,4,3,full
greedy_coin_change_canonical_004__text_only_v1,2,3,1,failed
greedy_coin_change_canonical_004__code_only_v1,3,4,2,full
greedy_coin_change_canonical_004__naive_concat_v1,2,3,1,failed
greedy_coin_change_canonical_004__full_method_v1,4,4,2,full
greedy_coin_change_canonical_005__text_only_v1,3,4,2,partial
greedy_coin_change_canonical_005__code_only_v1,3,4,2,full
greedy_coin_change_canonical_005__naive_concat_v1,3,4,2,full
greedy_coin_change_canonical_005__full_method_v1,3,4,3,full
greedy_coin_change_canonical_006__text_only_v1,2,3,1,failed
greedy_coin_change_canonical_006__code_only_v1,3,4,2,full
greedy_coin_change_canonical_006__naive_concat_v1,2,3,1,failed
greedy_coin_change_canonical_006__full_method_v1,4,4,2,full
greedy_coin_change_canonical_007__text_only_v1,3,4,2,partial
greedy_coin_change_canonical_007__code_only_v1,3,4,2,full
greedy_coin_change_canonical_007__naive_concat_v1,3,4,2,full
greedy_coin_change_canonical_007__full_method_v1,3,4,3,full
greedy_interval_scheduling_004__text_only_v1,3,4,2,partial
greedy_interval_scheduling_004__code_only_v1,3,4,2,full
greedy_interval_scheduling_004__naive_concat_v1,4,4,2,full
greedy_interval_scheduling_004__full_method_v1,4,4,3,full
greedy_interval_scheduling_005__text_only_v1,3,4,2,partial
greedy_interval_scheduling_005__code_only_v1,3,4,2,full
greedy_interval_scheduling_005__naive_concat_v1,3,4,2,partial
greedy_interval_scheduling_005__full_method_v1,3,4,3,full
greedy_interval_scheduling_006__text_only_v1,3,4,2,partial
greedy_interval_scheduling_006__code_only_v1,3,4,2,full
greedy_interval_scheduling_006__naive_concat_v1,4,4,2,full
greedy_interval_scheduling_006__full_method_v1,4,4,3,full
greedy_interval_scheduling_007__text_only_v1,3,4,2,partial
greedy_interval_scheduling_007__code_only_v1,3,4,2,full
greedy_interval_scheduling_007__naive_concat_v1,3,4,2,partial
greedy_interval_scheduling_007__full_method_v1,3,4,3,full
sorting_insertion_sort_004__text_only_v1,4,4,2,partial
sorting_insertion_sort_004__code_only_v1,4,4,2,full
sorting_insertion_sort_004__naive_concat_v1,4,4,2,partial
sorting_insertion_sort_004__full_method_v1,4,4,3,full
sorting_insertion_sort_005__text_only_v1,4,4,2,partial
sorting_insertion_sort_005__code_only_v1,4,4,2,full
sorting_insertion_sort_005__naive_concat_v1,4,4,2,partial
sorting_insertion_sort_005__full_method_v1,4,4,3,full
sorting_insertion_sort_006__text_only_v1,4,4,2,partial
sorting_insertion_sort_006__code_only_v1,4,4,2,full
sorting_insertion_sort_006__naive_concat_v1,4,4,2,partial
sorting_insertion_sort_006__full_method_v1,4,4,3,full
sorting_insertion_sort_007__text_only_v1,4,4,2,partial
sorting_insertion_sort_007__code_only_v1,4,4,2,full
sorting_insertion_sort_007__naive_concat_v1,4,4,2,partial
sorting_insertion_sort_007__full_method_v1,4,4,3,full
sorting_merge_sort_004__text_only_v1,4,4,2,partial
sorting_merge_sort_004__code_only_v1,4,4,2,full
sorting_merge_sort_004__naive_concat_v1,4,4,2,full
sorting_merge_sort_004__full_method_v1,4,4,4,full
sorting_merge_sort_005__text_only_v1,3,4,2,partial
sorting_merge_sort_005__code_only_v1,4,4,2,full
sorting_merge_sort_005__naive_concat_v1,4,4,2,partial
sorting_merge_sort_005__full_method_v1,4,4,4,full
sorting_merge_sort_006__text_only_v1,4,4,2,partial
sorting_merge_sort_006__code_only_v1,4,4,2,full
sorting_merge_sort_006__naive_concat_v1,4,4,2,full
sorting_merge_sort_006__full_method_v1,4,4,4,full
sorting_merge_sort_007__text_only_v1,3,4,2,partial
sorting_merge_sort_007__code_only_v1,4,4,2,full
sorting_merge_sort_007__naive_concat_v1,4,4,2,partial
sorting_merge_sort_007__full_method_v1,4,4,4,full
trees_bst_insert_004__text_only_v1,3,4,2,partial
trees_bst_insert_004__code_only_v1,4,4,2,full
trees_bst_insert_004__naive_concat_v1,4,4,2,full
trees_bst_insert_004__full_method_v1,4,4,4,full
trees_bst_insert_005__text_only_v1,3,4,2,partial
trees_bst_insert_005__code_only_v1,4,4,2,full
trees_bst_insert_005__naive_concat_v1,3,4,2,partial
trees_bst_insert_005__full_method_v1,4,4,3,full
trees_bst_insert_006__text_only_v1,3,4,2,partial
trees_bst_insert_006__code_only_v1,4,4,2,full
trees_bst_insert_006__naive_concat_v1,4,4,2,full
trees_bst_insert_006__full_method_v1,4,4,4,full
trees_bst_insert_007__text_only_v1,3,4,2,partial
trees_bst_insert_007__code_only_v1,4,4,2,full
trees_bst_insert_007__naive_concat_v1,3,4,2,partial
trees_bst_insert_007__full_method_v1,4,4,3,full
trees_lowest_common_ancestor_004__text_only_v1,3,4,2,partial
trees_lowest_common_ancestor_004__code_only_v1,4,4,2,full
trees_lowest_common_ancestor_004__naive_concat_v1,3,4,2,partial
trees_lowest_common_ancestor_004__full_method_v1,4,4,3,full
trees_lowest_common_ancestor_005__text_only_v1,2,4,1,failed
trees_lowest_common_ancestor_005__code_only_v1,4,4,2,full
trees_lowest_common_ancestor_005__naive_concat_v1,3,4,2,partial
trees_lowest_common_ancestor_005__full_method_v1,4,4,3,full
trees_lowest_common_ancestor_006__text_only_v1,3,4,2,partial
trees_lowest_common_ancestor_006__code_only_v1,4,4,2,full
trees_lowest_common_ancestor_006__naive_concat_v1,3,4,2,partial
trees_lowest_common_ancestor_006__full_method_v1,4,4,3,full
trees_lowest_common_ancestor_007__text_only_v1,2,4,1,failed
trees_lowest_common_ancestor_007__code_only_v1,4,4,2,full
trees_lowest_common_ancestor_007__naive_concat_v1,3,4,2,partial
trees_lowest_common_ancestor_007__full_method_v1,4,4,3,full
