instance_id,family,domain,split,system,faithfulness_mean,code_consistency_mean,vacuity_rate,proof_utility_mean,contradiction_flag,missing_critical_units,failure_mode_label,annotation_origin,source_template_id,repair_subset
arrays_binary_search_001,arrays_binary_search,arrays,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_001,arrays_binary_search,arrays,dev,full_method_v1,0.8750,1.0000,0.0000,0.2973,false,0,,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_001,arrays_binary_search,arrays,dev,naive_concat_v1,0.8750,1.0000,0.1667,0.2973,false,0,,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,full_method_v1,0.8750,1.0000,0.0000,0.2973,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,naive_concat_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,text_only_v1,0.8571,1.0000,0.2857,0.2947,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_max_subarray_001,arrays_max_subarray,arrays,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_max_subarray_001,no
arrays_max_subarray_001,arrays_max_subarray,arrays,dev,full_method_v1,0.9000,1.0000,0.0000,0.3008,false,0,,direct_adjudicated,arrays_max_subarray_001,no
arrays_max_subarray_001,arrays_max_subarray,arrays,dev,naive_concat_v1,0.7727,1.0000,0.0909,0.2828,false,2,,direct_adjudicated,arrays_max_subarray_001,no
arrays_max_subarray_001,arrays_max_subarray,arrays,dev,text_only_v1,0.6429,1.0000,0.1429,0.2644,false,2,,direct_adjudicated,arrays_max_subarray_001,no
arrays_max_subarray_002,arrays_max_subarray,arrays,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_max_subarray_002,no
arrays_max_subarray_002,arrays_max_subarray,arrays,dev,full_method_v1,0.9000,1.0000,0.0000,0.3008,false,0,,direct_adjudicated,arrays_max_subarray_002,no
arrays_max_subarray_002,arrays_max_subarray,arrays,dev,naive_concat_v1,0.5455,1.0000,0.0909,0.2506,false,2,,direct_adjudicated,arrays_max_subarray_002,no
arrays_max_subarray_002,arrays_max_subarray,arrays,dev,text_only_v1,1.0000,1.0000,0.0000,0.3150,false,2,,direct_adjudicated,arrays_max_subarray_002,no
dp_knapsack_01_001,dp_knapsack_01,dp,dev,code_only_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_001,no
dp_knapsack_01_001,dp_knapsack_01,dp,dev,full_method_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_001,no
dp_knapsack_01_001,dp_knapsack_01,dp,dev,naive_concat_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_001,no
dp_knapsack_01_001,dp_knapsack_01,dp,dev,text_only_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_001,no
dp_knapsack_01_002,dp_knapsack_01,dp,dev,code_only_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_002,no
dp_knapsack_01_002,dp_knapsack_01,dp,dev,full_method_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_002,no
dp_knapsack_01_002,dp_knapsack_01,dp,dev,naive_concat_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_002,no
dp_knapsack_01_002,dp_knapsack_01,dp,dev,text_only_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,dp_knapsack_01_002,no
dp_longest_common_subsequence_001,dp_longest_common_subsequence,dp,dev,code_only_v1,0.7500,1.0000,0.0000,0.2796,false,0,,direct_adjudicated,dp_longest_common_subsequence_001,no
dp_longest_common_subsequence_001,dp_longest_common_subsequence,dp,dev,full_method_v1,0.8000,1.0000,0.0000,0.2867,false,0,,direct_adjudicated,dp_longest_common_subsequence_001,no
