packet_id,system_id,instance_id,selected_for_repair_budget,repair_success,elaborated,admit_count,axiom_count,proof_mode,pre_repair_failure_type,outcome_summary
hp_arrays_binary_search_004__full_method_v1,full_method_v1,arrays_binary_search_004,true,false,false,0,0,definition_backed,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,partial_success_documented
hp_arrays_binary_search_006__full_method_v1,full_method_v1,arrays_binary_search_006,true,false,false,0,0,definition_backed,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,partial_success_documented
hp_dp_longest_common_subsequence_004__full_method_v1,full_method_v1,dp_longest_common_subsequence_004,true,false,false,0,0,definition_backed,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,partial_success_documented
hp_dp_longest_common_subsequence_005__full_method_v1,full_method_v1,dp_longest_common_subsequence_005,true,false,false,0,0,definition_backed,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,partial_success_documented
hp_dp_longest_common_subsequence_006__full_method_v1,full_method_v1,dp_longest_common_subsequence_006,true,false,false,0,0,definition_backed,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,partial_success_documented
hp_dp_longest_common_subsequence_007__full_method_v1,full_method_v1,dp_longest_common_subsequence_007,true,false,false,0,0,definition_backed,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,partial_success_documented
hp_greedy_coin_change_canonical_004__naive_concat_v1,naive_concat_v1,greedy_coin_change_canonical_004,true,true,false,0,0,definition_backed,low_semantic_faithfulness;missing_critical_semantic_unit,repaired_scaffold_alignment
hp_greedy_coin_change_canonical_004__text_only_v1,text_only_v1,greedy_coin_change_canonical_004,true,true,false,0,0,definition_backed,low_semantic_faithfulness;missing_critical_semantic_unit,repaired_scaffold_alignment
hp_greedy_coin_change_canonical_006__naive_concat_v1,naive_concat_v1,greedy_coin_change_canonical_006,true,true,false,0,0,definition_backed,low_semantic_faithfulness;missing_critical_semantic_unit,repaired_scaffold_alignment
hp_greedy_coin_change_canonical_006__text_only_v1,text_only_v1,greedy_coin_change_canonical_006,true,true,false,0,0,definition_backed,low_semantic_faithfulness;missing_critical_semantic_unit,repaired_scaffold_alignment
hp_trees_lowest_common_ancestor_005__text_only_v1,text_only_v1,trees_lowest_common_ancestor_005,true,true,false,0,0,definition_backed,low_semantic_faithfulness;missing_critical_semantic_unit,repaired_scaffold_alignment
hp_trees_lowest_common_ancestor_007__text_only_v1,text_only_v1,trees_lowest_common_ancestor_007,true,true,false,0,0,definition_backed,low_semantic_faithfulness;missing_critical_semantic_unit,repaired_scaffold_alignment
