candidate_failure_id,selected_for_repair,selection_reason,repair_attempted,repair_outcome,human_minutes,reference_obligations_used,notes
hp_arrays_binary_search_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_004__full_method_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,35,yes,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit
hp_arrays_binary_search_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_006__full_method_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,35,yes,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit
hp_arrays_binary_search_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_binary_search_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_arrays_max_subarray_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_arrays_max_subarray_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_005__naive_concat_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_arrays_max_subarray_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_arrays_max_subarray_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_arrays_max_subarray_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_arrays_max_subarray_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_arrays_max_subarray_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
