packet_id,instance_id,system_id,faithfulness_mean,priority_rank,annotation_origin,source_template_id,candidate_reason,candidate_eligible,selected,selection_reason,repair_attempted,outcome,if_not_selected_why,packet_json_sha256,scaffold_lean_sha256,diagnostics_json_sha256,packet_json_path,diagnostics_path
hp_arrays_binary_search_004__code_only_v1,arrays_binary_search_004,code_only_v1,1.000000,149,direct_adjudicated,arrays_binary_search_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:72d0a9137f701e16ab8819365c65281ba665a615758c985c6c66dcd6068ff2b5,sha256:e9153224f031195cf8b8c16bded0b04cba45555b7093e89eeaffc2cb1a3253f7,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_001/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_001/lean_diagnostics.json
hp_arrays_binary_search_004__full_method_v1,arrays_binary_search_004,full_method_v1,0.250000,3,direct_adjudicated,arrays_binary_search_001,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,true,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,,sha256:4fc170adb901db6955a0445b12487f2ea3a74478843b799eea8188818589bee6,sha256:e4191dd3426bc6b4f04c61bb2ce8b1a25c5ef7742274480566b856e67ca9af2e,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_001/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_001/lean_diagnostics.json
hp_arrays_binary_search_004__naive_concat_v1,arrays_binary_search_004,naive_concat_v1,0.875000,115,direct_adjudicated,arrays_binary_search_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:9a0fc4ffca0d7cd56b7a7042c3ded25630d54452731fc77802fea119e5bfed0d,sha256:e9153224f031195cf8b8c16bded0b04cba45555b7093e89eeaffc2cb1a3253f7,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_001/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_001/lean_diagnostics.json
hp_arrays_binary_search_004__text_only_v1,arrays_binary_search_004,text_only_v1,0.857100,111,direct_adjudicated,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:684105e160e43c4f6dee7b73edfc118e97fdef94cfa601af9a947f0cdbe037f6,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_005__code_only_v1,arrays_binary_search_005,code_only_v1,1.000000,150,mapped_from_canonical,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:b38299e9c25e0da970060560c4bc1f651507a9fb74b9b2fe8f474c7955eba132,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_005__full_method_v1,arrays_binary_search_005,full_method_v1,0.875000,116,direct_adjudicated,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:4c270a40fdca322f4900a06359528de6de9b696bf29c7ab65a675b994586efc5,sha256:e9e3c541ba53910ec5a7a129346e4acc48a0a0cea06727e37c942ba3d0f1b113,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_005__naive_concat_v1,arrays_binary_search_005,naive_concat_v1,1.000000,151,mapped_from_canonical,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:0828f0c0a9f5cbf2a1baa30c1f8d0a9f5645a33a5f196b98e69bc21d22f6551f,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_005__text_only_v1,arrays_binary_search_005,text_only_v1,0.857100,112,direct_adjudicated,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:684105e160e43c4f6dee7b73edfc118e97fdef94cfa601af9a947f0cdbe037f6,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_006__code_only_v1,arrays_binary_search_006,code_only_v1,1.000000,152,mapped_from_canonical,arrays_binary_search_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:72d0a9137f701e16ab8819365c65281ba665a615758c985c6c66dcd6068ff2b5,sha256:e9153224f031195cf8b8c16bded0b04cba45555b7093e89eeaffc2cb1a3253f7,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_001/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_001/lean_diagnostics.json
hp_arrays_binary_search_006__full_method_v1,arrays_binary_search_006,full_method_v1,0.250000,4,direct_adjudicated,arrays_binary_search_001,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit,true,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,,sha256:4fc170adb901db6955a0445b12487f2ea3a74478843b799eea8188818589bee6,sha256:e4191dd3426bc6b4f04c61bb2ce8b1a25c5ef7742274480566b856e67ca9af2e,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_001/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_001/lean_diagnostics.json
