anonymized_packet_key,semantic_faithfulness,code_consistency,proof_utility,vacuity_label,coverage_label,covered_units,partial_units,missing_units,contradiction_signal,notes
hs_001,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_001; anchor=371
hs_002,1,2,1,non_vacuous,full,SU1|SU2|SU3,,,1,independent strict second pass; source_template=arrays_binary_search_001; anchor=117
hs_003,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_binary_search_001; anchor=712
hs_004,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_002; anchor=678
hs_005,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_002; anchor=712
hs_006,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_002; anchor=802
hs_007,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_binary_search_002; anchor=528
hs_008,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_003; anchor=198
hs_009,1,2,1,non_vacuous,full,SU1|SU2|SU3,,,1,independent strict second pass; source_template=arrays_binary_search_003; anchor=647
hs_010,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_binary_search_003; anchor=641
hs_011,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_binary_search_003; anchor=10
hs_012,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_004; anchor=282
hs_013,1,2,1,non_vacuous,partial,SU1|SU2,,SU3,1,independent strict second pass; source_template=arrays_binary_search_004; anchor=93
hs_014,3,3,1,non_vacuous,partial,,SU1|SU2|SU3,,0,independent strict second pass; source_template=arrays_binary_search_004; anchor=354
hs_015,3,3,1,non_vacuous,partial,,SU1|SU2|SU3,,0,independent strict second pass; source_template=arrays_binary_search_004; anchor=549
hs_016,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_005; anchor=268
hs_017,3,3,1,non_vacuous,partial,,SU1|SU2|SU3,,0,independent strict second pass; source_template=arrays_binary_search_005; anchor=94
hs_018,2,2,1,non_vacuous,full,SU1|SU2|SU3,,,1,independent strict second pass; source_template=arrays_binary_search_006; anchor=424
hs_019,3,3,1,non_vacuous,partial,,SU1|SU2|SU3,,0,independent strict second pass; source_template=arrays_binary_search_006; anchor=254
hs_020,3,3,1,non_vacuous,partial,,SU1|SU2|SU3,,0,independent strict second pass; source_template=arrays_binary_search_006; anchor=641
hs_021,3,3,1,non_vacuous,partial,SU1|SU2,,SU3,0,independent strict second pass; source_template=arrays_binary_search_007; anchor=749
hs_022,3,3,1,non_vacuous,partial,,SU1|SU2|SU3,,0,independent strict second pass; source_template=arrays_binary_search_007; anchor=220
hs_023,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_001; anchor=850
hs_024,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_001; anchor=210
hs_025,2,3,1,vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_max_subarray_001; anchor=574
hs_026,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_max_subarray_001; anchor=485
hs_027,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_002; anchor=622
hs_028,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_002; anchor=255
hs_029,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_max_subarray_002; anchor=510
hs_030,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_max_subarray_002; anchor=330
hs_031,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_003; anchor=33
hs_032,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_003; anchor=648
hs_033,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_max_subarray_003; anchor=875
hs_034,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=arrays_max_subarray_003; anchor=748
hs_035,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_004; anchor=487
hs_036,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=arrays_max_subarray_004; anchor=880
hs_037,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=arrays_max_subarray_004; anchor=801
hs_038,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_005; anchor=783
hs_039,2,3,1,non_vacuous,partial,,SU2,SU1|SU3,0,independent strict second pass; source_template=arrays_max_subarray_005; anchor=303
hs_040,3,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=arrays_max_subarray_005; anchor=836
hs_041,2,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_max_subarray_006; anchor=269
hs_042,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=arrays_max_subarray_006; anchor=998
hs_043,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=arrays_max_subarray_006; anchor=375
hs_044,2,3,1,non_vacuous,partial,,SU2,SU1|SU3,0,independent strict second pass; source_template=arrays_max_subarray_007; anchor=359
hs_045,3,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=arrays_max_subarray_007; anchor=270
hs_046,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_001; anchor=860
hs_047,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_001; anchor=811
hs_048,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_001; anchor=888
hs_049,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_001; anchor=769
hs_050,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_002; anchor=196
hs_051,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_002; anchor=174
hs_052,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_002; anchor=147
hs_053,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_002; anchor=988
hs_054,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_003; anchor=746
hs_055,2,2,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_003; anchor=775
hs_056,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_003; anchor=934
hs_057,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_003; anchor=887
hs_058,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_004; anchor=307
hs_059,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_004; anchor=310
hs_060,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_004; anchor=540
